Series Name,Series Code,Country Name,Country Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)",UIS.FGP.5T8.F600,Guinea-Bissau,GNB,..,..,..,..,..,..,..,..,..,..,..
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)",UIS.FGP.5T8.F600,Guyana,GUY,37.93103,37.93103,26.58228,..,..,..,..,..,..,..,..
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)",UIS.FGP.5T8.F600,Haiti,HTI,..,..,..,..,..,..,..,..,..,..,..
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)",UIS.FGP.5T8.F600,Heavily indebted poor countries (HIPC),HPC,..,..,..,..,..,..,..,..,..,..,..
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)",UIS.FGP.5T8.F600,High income,HIC,..,..,..,..,..,..,..,..,..,..,..
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)",UIS.FGP.5T8.F600,Honduras,HND,..,..,39.94211,..,..,30.23578,27.51092,31.86344,27.14469,..,..
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)",UIS.FGP.5T8.F600,"Hong Kong SAR, China",HKG,..,..,..,..,..,..,..,..,..,..,..
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)",UIS.FGP.5T8.F600,Hungary,HUN,18.0192,15.37028,16.79467,17.08333,17.76375,23.33333,18.81793,16.70346,..,..,..
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)",UIS.FGP.5T8.F600,IBRD only,IBD,..,..,..,..,..,..,..,..,..,..,..
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)",UIS.FGP.5T8.F600,Iceland,ISL,20.51282,..,12.96296,..,..,..,..,..,..,..,..
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)",UIS.FGP.5T8.F600,IDA & IBRD total,IBT,..,..,..,..,..,..,..,..,..,..,..
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)",UIS.FGP.5T8.F600,IDA blend,IDB,..,..,..,..,..,..,..,..,..,..,..
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)",UIS.FGP.5T8.F600,IDA only,IDX,..,..,..,..,..,..,..,..,..,..,..
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)",UIS.FGP.5T8.F600,IDA total,IDA,..,..,..,..,..,..,..,..,..,..,..
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)",UIS.FGP.5T8.F600,India,IND,..,..,..,44.75373,44.21147,44.57102,46.32084,50.11807,46.32791,..,..
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)",UIS.FGP.5T8.F600,Indonesia,IDN,..,..,..,..,35.97724,35.29992,34.83984,35.62578,34.6707,..,..
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)",UIS.FGP.5T8.F600,"Iran, Islamic Rep.",IRN,..,61.21352,53.82685,..,..,..,42.39042,39.10959,..,..,..
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)",UIS.FGP.5T8.F600,Iraq,IRQ,..,..,..,..,..,..,..,..,..,..,..
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)",UIS.FGP.5T8.F600,Ireland,IRL,22.26436,..,40.53751,19.93968,19.57627,20.27555,20.85069,..,..,..,..
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)",UIS.FGP.5T8.F600,Isle of Man,IMN,..,..,..,..,..,..,..,..,..,..,..
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)",UIS.FGP.5T8.F600,Israel,ISR,..,..,..,..,..,..,..,..,..,..,..
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)",UIS.FGP.5T8.F600,Italy,ITA,..,23.46772,25.45636,16.66667,16.26418,19.59654,16.12051,..,..,..,..
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)",UIS.FGP.5T8.F600,Jamaica,JAM,..,..,..,..,..,..,..,..,..,..,..
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)",UIS.FGP.5T8.F600,Japan,JPN,..,..,..,..,..,..,..,..,..,..,..
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)",UIS.FGP.5T8.F600,Jordan,JOR,..,60.27938,..,..,..,..,..,..,..,..,..
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)",UIS.FGP.5T8.F600,Kazakhstan,KAZ,..,..,..,..,..,..,38.02328,39.40185,34.46906,30.39628,..
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)",UIS.FGP.5T8.F600,Kenya,KEN,..,..,..,..,..,..,30.10329,..,..,..,..
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)",UIS.FGP.5T8.F600,Kiribati,KIR,..,..,..,..,..,..,..,..,..,..,..
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)",UIS.FGP.5T8.F600,"Korea, Dem. People's Rep.",PRK,..,..,..,..,..,36.29672,..,..,..,..,..
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)",UIS.FGP.5T8.F600,"Korea, Rep.",KOR,..,23.33647,25.28451,25.02166,25.99239,27.33808,28.62947,24.32193,..,..,..
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)",UIS.FGP.5T8.F600,Kosovo,XKX,..,..,..,..,..,..,..,..,..,..,..
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)",UIS.FGP.5T8.F600,Kuwait,KWT,..,..,..,..,..,..,..,..,..,..,..
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)",UIS.FGP.5T8.F600,Kyrgyz Republic,KGZ,43.88767,51.0521,46.47971,..,..,43.25681,43.21346,44.95982,47.42567,..,..
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)",UIS.FGP.5T8.F600,Lao PDR,LAO,..,40.97646,33.93195,..,..,30.00564,28.88638,35.07853,40.82181,..,..
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)",UIS.FGP.5T8.F600,Late-demographic dividend,LTE,..,..,..,..,..,..,..,..,..,..,..
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)",UIS.FGP.5T8.F600,Latin America & Caribbean,LCN,..,..,..,..,..,..,..,..,..,..,..
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)",UIS.FGP.5T8.F600,Latin America & Caribbean (excluding high income),LAC,..,..,..,..,..,..,..,..,..,..,..
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)",UIS.FGP.5T8.F600,Latin America & Caribbean (IDA & IBRD),TLA,..,..,..,..,..,..,..,..,..,..,..
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)",UIS.FGP.5T8.F600,Latvia,LVA,19.53428,21.24105,21.04623,23.20513,22.27074,20.6117,23.68421,22.68326,..,..,..
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)",UIS.FGP.5T8.F600,Least developed countries: UN classification,LDC,..,..,..,..,..,..,..,..,..,..,..
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)",UIS.FGP.5T8.F600,Lebanon,LBN,23.63112,30.65903,..,..,..,..,..,..,..,..,..
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)",UIS.FGP.5T8.F600,Lesotho,LSO,..,..,25.53191,..,..,23.35766,..,..,31.25,..,..
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)",UIS.FGP.5T8.F600,Liberia,LBR,..,..,..,..,..,..,..,..,..,..,..
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)",UIS.FGP.5T8.F600,Libya,LBY,..,..,..,..,..,..,..,..,..,..,..
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)",UIS.FGP.5T8.F600,Liechtenstein,LIE,..,5.88235,..,..,..,..,..,..,..,..,..
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)",UIS.FGP.5T8.F600,Lithuania,LTU,17.27973,17.35379,17.26415,15.87678,16.18911,13.79898,11.64725,16.84211,..,..,..
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)",UIS.FGP.5T8.F600,Low & middle income,LMY,..,..,..,..,..,..,..,..,..,..,..
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)",UIS.FGP.5T8.F600,Low income,LIC,..,..,..,..,..,..,..,..,..,..,..
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)",UIS.FGP.5T8.F600,Lower middle income,LMC,..,..,..,..,..,..,..,..,..,..,..
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)",UIS.FGP.5T8.F600,Luxembourg,LUX,..,..,25.92593,14.70588,10.44776,10.41667,19.58763,..,..,..,..
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)",UIS.FGP.5T8.F600,"Macao SAR, China",MAC,16.11374,14.52991,14.87179,..,..,11.96172,16.26794,19.12351,22.74368,..,..
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)",UIS.FGP.5T8.F600,Madagascar,MDG,25.80645,..,..,..,29.37189,29.86887,23.41932,27.82755,33.63636,..,..
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)",UIS.FGP.5T8.F600,Malawi,MWI,..,..,..,..,..,..,..,..,..,..,..
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)",UIS.FGP.5T8.F600,Malaysia,MYS,46.65087,47.01448,52.59692,..,..,44.55067,..,..,45.99805,..,..
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)",UIS.FGP.5T8.F600,Maldives,MDV,..,..,..,..,..,..,..,9.67742,..,..,..
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)",UIS.FGP.5T8.F600,Mali,MLI,..,..,..,..,..,..,..,..,..,..,..
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)",UIS.FGP.5T8.F600,Malta,MLT,19.87952,25.34722,..,13.99417,17.86667,18.20896,16.44444,15.97796,..,..,..
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)",UIS.FGP.5T8.F600,Marshall Islands,MHL,..,..,..,..,..,..,..,..,..,..,..
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)",UIS.FGP.5T8.F600,Mauritania,MRT,..,..,..,..,..,..,41.17647,41.31737,..,..,..
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)",UIS.FGP.5T8.F600,Mauritius,MUS,..,..,..,..,..,..,..,31.59117,..,..,..
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)",UIS.FGP.5T8.F600,Mexico,MEX,41.96137,40.19761,39.22306,39.29053,37.43118,35.45763,32.17901,28.43665,..,..,..
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)",UIS.FGP.5T8.F600,"Micronesia, Fed. Sts.",FSM,..,..,..,..,..,..,..,..,..,..,..
